NB_ARC_VL;ID_GAV;NB_PL_MT;LARGEUR;GLOBALID;TYPE_MOBIL;PROFIL;LONGUEUR;ETAT_;CODE_INSEE;NB_PL_VL;NB_PLACE;NB_ARC_MT;geometry
0;7230;5;2.0;{D5CEF62C-31BE-49D0-BBEE-E8159E32507B};2;0;8.5;Supprimé(e);06088;2;7;0;{"type": "Point", "coordinates": [7.27721959, 43.70247085]}
6;7237;0;2.0;{C833D82A-8533-4DEC-B5A3-CBE788171843};6;2;6.0;En vigueur;06088;12;12;0;{"type": "Point", "coordinates": [7.27410253, 43.69673047]}
16;7139;17;2.0;{F20B44CC-5D09-4CC6-B885-77E002B2A9A7};5;0;42.0;En vigueur;06088;32;49;18;{"type": "Point", "coordinates": [7.2683467, 43.70072787]}
0;7133;5;2.0;{7682F47B-3A7C-4D72-B9D5-EC4A98B6AE22};2;0;8.0;Supprimé(e);06088;3;8;0;{"type": "Point", "coordinates": [7.26972947, 43.69931706]}
0;7154;19;2.0;{06563348-02F6-4DA2-BBF8-FCEAA889274D};1;1;29.0;Supprimé(e);06088;0;19;11;{"type": "Point", "coordinates": [7.26709383, 43.70270116]}
0;7170;3;2.0;{94BF8829-24E4-4F4A-A52F-8A07E6ECB048};2;0;4.5;Supprimé(e);06088;1;4;0;{"type": "Point", "coordinates": [7.26553559, 43.70541214]}
0;7088;3;2.0;{EAEA29D8-234E-4272-9DEA-005A07F93C82};2;0;3.5;En vigueur;06088;1;4;0;{"type": "Point", "coordinates": [7.26565791, 43.70077774]}
0;7095;4;1.8;{E628CD86-5866-4149-A8DC-484D517E3A52};0;1;4.0;Supprimé(e);06088;0;4;0;{"type": "Point", "coordinates": [7.2676167, 43.70042669]}
0;7096;7;2.0;{73EF3A15-4A9A-432B-870F-810BB2C51CAE};2;0;11.0;En vigueur;06088;4;11;0;{"type": "Point", "coordinates": [7.26564657, 43.69811922]}
5;7101;16;1.9000000000000001;{A55B2BFC-BBED-4791-A0E4-2A478E3EC765};1;0;20.0;En vigueur;06088;10;26;16;{"type": "Point", "coordinates": [7.26758028, 43.69857196]}
0;7415;4;2.0;{9B70CB3A-A0A3-4E28-886D-983C73243A04};7;1;4.0;En vigueur;06088;0;4;3;{"type": "Point", "coordinates": [7.26906722, 43.70729284]}
0;4021;4;2.0;{C753DC6D-3267-45F8-B7EC-F5C4F766AA93};7;1;5.0;En vigueur;06088;0;4;4;{"type": "Point", "coordinates": [7.29445409, 43.71813559]}
0;7428;11;2.0;{DF82915B-3B05-4E48-9D08-6D596874A77C};5;1;15.0;En vigueur;06088;0;11;6;{"type": "Point", "coordinates": [7.26469935, 43.70473846]}
3;5193;6;2.0;{ECEFF8C6-3348-4B62-B214-84ED68303863};5;0;9.0;Supprimé(e);06088;6;12;6;{"type": "Point", "coordinates": [7.28291729, 43.69862883]}
0;7445;10;2.0;{689AAE5D-DAED-4AED-B210-D6CDD0B061DD};7;1;10.0;Supprimé(e);06088;0;10;5;{"type": "Point", "coordinates": [7.26310478, 43.70434056]}
0;8056;10;2.0;{D0E307FB-38CE-4E79-B942-509BD1CA3DE0};7;1;10.0;Supprimé(e);06088;0;10;9;{"type": "Point", "coordinates": [7.234211, 43.68439715]}
0;8061;4;2.0;{0B1A4945-A683-45DF-B850-363FCEDFEA5D};7;1;4.0;En vigueur;06088;0;4;5;{"type": "Point", "coordinates": [7.2199023, 43.67826821]}
6;1024;9;2.0;{5157D80F-0315-479B-B3B1-1E75693A8BF1};5;0;12.0;Supprimé(e);06088;12;21;10;{"type": "Point", "coordinates": [7.20114939, 43.68938075]}
0;1028;4;2.0;{5E6162C8-1588-4E48-95DF-01D52611B919};7;1;4.0;En vigueur;06088;0;4;3;{"type": "Point", "coordinates": [7.19972836, 43.68664942]}
5;7191;6;2.0;{F793253D-B169-471D-A946-B63AC45167F7};5;0;10.0;En vigueur;06088;10;16;7;{"type": "Point", "coordinates": [7.27201984, 43.70189752]}
3;2062;7;2.0;{3881C4CD-C288-485E-AFF4-E43A31B8FFFC};5;0;10.0;En vigueur;06088;6;13;7;{"type": "Point", "coordinates": [7.25388374, 43.70223067]}
4;3038;3;2.0;{5CC900F2-136B-4F27-96DE-4290CBF958CB};5;0;3.0;En vigueur;06088;4;7;3;{"type": "Point", "coordinates": [7.27065708, 43.70565109]}
5;8068;5;2.0;{6FABEFEA-3E9B-4B73-862A-540C419DC139};5;0;10.0;Supprimé(e);06088;10;15;5;{"type": "Point", "coordinates": [7.22765252, 43.67594208]}
4;8070;7;2.0;{3937BDD8-AAA0-4849-9CA3-72163F2631CA};5;0;12.0;En vigueur;06088;8;15;8;{"type": "Point", "coordinates": [7.22016039, 43.67134007]}
6;2106;6;2.0;{D5CC335F-BCAD-4EC1-AE76-BB0B0AA24219};5;0;10.0;En vigueur;06088;10;16;7;{"type": "Point", "coordinates": [7.25213077, 43.69789368]}
5;2108;7;2.0;{AAAF931D-B8E8-4BCD-99DC-FBFA5736E0D2};5;0;10.0;En vigueur;06088;10;17;7;{"type": "Point", "coordinates": [7.25005955, 43.70015836]}
2;8033;3;2.0;{D7ECDF16-9044-4C32-B6BE-C0E932EA0C3F};3;0;6.0;En vigueur;06088;2;5;3;{"type": "Point", "coordinates": [7.24589997, 43.69279984]}
0;7277;7;2.0;{22DF8AD3-9F41-4E5F-83DF-6DB9F7006B11};3;1;10.5;En vigueur;06088;3;10;7;{"type": "Point", "coordinates": [7.25760054, 43.69641245]}
0;7341;5;2.0;{9DE64081-55A1-40E6-8CDB-9C445ECBA3E7};1;1;5.5;En vigueur;06088;0;5;6;{"type": "Point", "coordinates": [7.27022669, 43.70127241]}
3;7342;5;2.0;{63D94FDA-2921-4370-B15E-7562FBB0A2ED};5;0;10.0;En vigueur;06088;6;11;6;{"type": "Point", "coordinates": [7.25698869, 43.70798129]}
0;7335;6;2.0;{A5ACE6F8-4379-4E6D-A065-E8E949DD40E5};5;1;7.5;En vigueur;06088;0;6;6;{"type": "Point", "coordinates": [7.27413682, 43.69981183]}
3;7338;4;2.0;{B0F179AE-6DEB-47A4-AF0B-D0B7F4BD11A1};1;0;6.0;En vigueur;06088;6;10;4;{"type": "Point", "coordinates": [7.26722517, 43.70595903]}
2;6053;3;2.0;{18B8EF8D-84B7-40C5-8EA1-45BF9BA70641};1;0;5.0;En vigueur;06088;1;4;3;{"type": "Point", "coordinates": [7.2504065, 43.72305591]}
4;5145;0;2.0;{8A523D08-6D11-4EA9-9F2D-8768970F9974};6;2;4.0;En vigueur;06088;8;8;0;{"type": "Point", "coordinates": [7.28284515, 43.70524656]}
5;4016;10;2.0;{2E40BEFC-DCDA-4D2B-BE3F-6300F504FEF3};5;0;17.0;En vigueur;06088;10;20;10;{"type": "Point", "coordinates": [7.30764585, 43.73913517]}
3;7364;9;2.0;{5B0A3641-82DE-4246-A93E-697639A392E8};5;0;11.0;En vigueur;06088;10;19;9;{"type": "Point", "coordinates": [7.26160678, 43.70041577]}
2;7296;3;2.0;{4E139E10-A0E7-4B02-8C75-379589C7CB5C};1;0;5.5;En vigueur;06088;1;4;3;{"type": "Point", "coordinates": [7.26122788, 43.6996331]}
2;5138;3;2.0;{E2F5E206-2DAC-463B-9C2D-2B534F190B96};1;0;5.0;En vigueur;06088;1;4;3;{"type": "Point", "coordinates": [7.28671037, 43.70034509]}
3;5198;4;2.0;{E1636641-685D-459B-B07D-FAE5794911CD};1;0;6.0;En vigueur;06088;6;10;3;{"type": "Point", "coordinates": [7.29170764, 43.70313222]}
8;2076;6;2.0;{BD6F4D43-1AD7-4A26-8341-A3A87B882AF0};5;0;10.0;En vigueur;06088;6;12;7;{"type": "Point", "coordinates": [7.25178322, 43.6928968]}
5;1018;8;2.0;{FDDB9FFA-F155-4B43-A534-619A0B7CA310};5;0;12.0;Supprimé(e);06088;10;18;9;{"type": "Point", "coordinates": [7.2120599, 43.66863159]}
4;4019;10;2.0;{0AA33615-5095-42F0-A5C7-CB51E6BF9B40};1;0;11.0;En vigueur;06088;8;18;10;{"type": "Point", "coordinates": [7.27922094, 43.71287453]}
0;3036;10;2.0;{1F3A0691-1629-41BA-9B4A-DE7BFDB89040};7;1;10.0;En vigueur;06088;0;10;9;{"type": "Point", "coordinates": [7.28116924, 43.72357006]}
3;7372;6;2.0;{C281BC45-49AF-4A09-A353-4D33C5164AD1};5;0;10.0;En vigueur;06088;6;12;8;{"type": "Point", "coordinates": [7.2656904, 43.70147243]}
4;7378;8;2.0;{237C7F5D-7720-4473-BF20-5C2AC26DE552};5;0;11.0;En vigueur;06088;8;16;9;{"type": "Point", "coordinates": [7.2707586, 43.70425471]}
3;7229;5;2.0;{1FA6BFA6-B272-4B80-B732-9D0966BA040F};5;0;7.0;En vigueur;06088;6;11;5;{"type": "Point", "coordinates": [7.264392, 43.70918473]}
0;6062;5;2.0;{254C125B-86F8-44CA-8B28-EC05E48D3E8F};7;1;5.0;Supprimé(e);06088;0;5;6;{"type": "Point", "coordinates": [7.25817676, 43.71535235]}
5;6065;0;2.0;{CE1A2D57-0AAE-4CBA-822E-776199D10852};6;2;2.0;En vigueur;06088;4;4;0;{"type": "Point", "coordinates": [7.26116931, 43.71469589]}
5;6072;8;2.0;{17629BF0-41D6-40A1-8228-B56F05E45478};5;0;11.0;En vigueur;06088;10;18;8;{"type": "Point", "coordinates": [7.26298188, 43.71143268]}
5;5144;7;2.0;{FBCD139F-9464-4FB2-9795-B8A19E7F1F9C};5;0;12.0;En vigueur;06088;10;17;7;{"type": "Point", "coordinates": [7.28091322, 43.70185499]}
0;5093;5;2.0;{9ADCDC24-422E-4B78-BE24-157C6C9704DD};7;1;5.0;En vigueur;06088;0;4;3;{"type": "Point", "coordinates": [7.28088469, 43.7019134]}
6;5067;9;2.0;{5D567909-388D-4E82-9C58-51726CDB5A6B};5;0;12.0;En vigueur;06088;12;21;8;{"type": "Point", "coordinates": [7.28217892, 43.70413106]}
0;;10;0.0;{0626C7FD-8176-462F-A8BD-58917C82C3D2};0;1;10.0;En vigueur;06088;0;10;0;{"type": "Point", "coordinates": [7.20475022, 43.67852307]}
0;;6;2.0;{ABACD995-EE03-41F7-BCAD-8EA188DB850F};1;0;6.0;Non positionné(e);06088;0;0;6;{"type": "Point", "coordinates": [7.25545314, 43.72659655]}
2;;0;2.0;{269F4C27-AE58-401B-ACED-4F3B05FC102A};5;2;3.0;En vigueur;06088;5;5;0;{"type": "Point", "coordinates": [7.26715502, 43.70532778]}
3;;16;2.0;{A7CF6B7E-5699-40BF-8C7C-2D8E84683181};5;0;20.0;En vigueur;06088;5;21;8;{"type": "Point", "coordinates": [7.27046771, 43.70033101]}
5;;20;2.0;{634ED5F5-CE7C-4F58-97AA-40AFFF3D23F0};5;0;30.0;En vigueur;06088;10;30;10;{"type": "Point", "coordinates": [7.27146692, 43.69836221]}
0;;5;2.0;{9434A750-FBC4-4D76-B9B8-558DB46E6CFD};0;1;6.0;En vigueur;06088;0;5;2;{"type": "Point", "coordinates": [7.26825269, 43.69843677]}
0;;2;2.0;{31063D03-FA40-4669-B68E-35CD13CAB778};3;1;2.0;En vigueur;06088;0;2;2;{"type": "Point", "coordinates": [7.26792584, 43.69916229]}
0;;4;2.0;{292F6039-F981-4447-91C7-D881EEE6F6BC};5;1;2.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.26512654, 43.69860994]}
0;;2;2.0;{A45D744C-4D54-4B7D-8917-10272E8F4AED};0;1;2.0;En vigueur;06088;0;2;1;{"type": "Point", "coordinates": [7.26397945, 43.69747932]}
